Fecha,Hora,WS
2021-01-10,3,0.329
2021-01-10,4,0.619
2021-01-10,5,0.403
2021-01-10,6,0.274
2021-01-10,7,0.113
2021-01-10,8,0.354
2021-01-10,9,0.672
2021-01-10,10,0.98
2021-01-10,11,0.849
2021-01-10,12,1.176
2021-01-10,13,1.276
2021-01-10,14,1.545
2021-01-10,15,2.407
2021-01-10,16,1.728
2021-01-10,17,1.115
2021-01-10,18,1.243
2021-01-10,19,1.124
2021-01-10,20,0.155
2021-01-10,21,0.811
2021-01-10,22,0.927
2021-01-10,23,0.53
2021-01-11,0,0.124
2021-01-11,1,0.377
2021-01-11,2,0.552
2021-01-11,3,0.416
2021-01-11,4,0.657
2021-01-11,5,0.164
2021-01-11,6,0.119
2021-01-11,7,0.465
2021-01-11,8,0.434
2021-01-11,9,1.277
2021-01-11,10,1.462
2021-01-11,11,1.016
2021-01-11,12,0.973
2021-01-11,13,1.032
2021-01-11,14,2.066
2021-01-11,15,1.544
2021-01-11,16,1.681
2021-01-11,17,1.331
2021-01-11,18,1.236
2021-01-11,19,0.762
2021-01-11,20,0.272
2021-01-11,21,0.751
2021-01-11,22,2.006
2021-01-11,23,2.24
2021-01-12,0,0.99
2021-01-12,1,2.115
2021-01-12,2,1.984
2021-01-12,3,0.778
2021-01-12,4,0.169
2021-01-12,5,1.448
2021-01-12,6,1.548
2021-01-12,7,0.198
2021-01-12,8,0.196
2021-01-12,9,0.489
2021-01-12,10,0.8
2021-01-12,11,1.725
2021-01-12,12,1.767
2021-01-12,13,2.084
2021-01-12,14,2.027
2021-01-12,15,1.869
2021-01-12,16,1.648
2021-01-12,17,1.381
2021-01-12,18,1.512
2021-01-12,19,0.805
2021-01-12,20,0.29
2021-01-12,21,0.485
2021-01-12,22,0.817
2021-01-12,23,0.26
2021-01-13,0,1.835
2021-01-13,1,2.895
2021-01-13,2,2.646
2021-01-13,3,1.769
2021-01-13,4,1.288
2021-01-13,5,1.914
2021-01-13,6,2.379
2021-01-13,7,2.099
2021-01-13,8,1.885
2021-01-13,9,2.604
2021-01-13,10,3.162
2021-01-13,11,2.986
2021-01-13,12,2.784
2021-01-13,13,2.059
2021-01-13,14,1.926
2021-01-13,15,1.344
2021-01-13,16,0.624
2021-01-13,17,0.651
2021-01-13,18,0.536
2021-01-13,19,0.622
2021-01-13,20,0.351
2021-01-13,21,0.316
2021-01-13,22,0.28
2021-01-13,23,0.389
2021-01-14,0,0.275
2021-01-14,1,0.234
2021-01-14,2,0.488
2021-01-14,3,0.778
2021-01-14,4,0.074
2021-01-14,5,0.229
2021-01-14,6,0.812
2021-01-14,7,0.69
2021-01-14,8,0.936
2021-01-14,9,0.914
2021-01-14,10,1.294
2021-01-14,11,1.13
2021-01-14,12,0.805
2021-01-14,13,0.797
2021-01-14,14,0.977
2021-01-14,15,1.331
2021-01-14,16,2.142
2021-01-14,17,2.717
2021-01-14,18,1.187
2021-01-14,19,0.248
2021-01-14,20,0.31
2021-01-14,21,0.391
2021-01-14,22,0.308
2021-01-14,23,0.373
2021-01-15,0,0.157
2021-01-15,1,0.627
2021-01-15,2,0.427
2021-01-15,3,0.099
2021-01-15,4,0.223
2021-01-15,5,0.437
2021-01-15,6,0.477
2021-01-15,7,0.414
2021-01-15,8,0.293
2021-01-15,9,0.275
2021-01-15,10,1.73
2021-01-15,11,2.655
2021-01-15,12,1.863
2021-01-15,13,1.57
2021-01-15,14,1.13
2021-01-15,15,1.116
2021-01-15,16,1.134
2021-01-15,17,0.933
2021-01-15,18,0.863
2021-01-15,19,0.565
2021-01-15,20,0.419
2021-01-15,21,0.36
2021-01-15,22,0.241
2021-01-15,23,0.258
2021-01-16,0,0.281
2021-01-16,1,0.269
2021-01-16,2,0.416
2021-01-16,3,0.282
2021-01-16,4,0.277
2021-01-16,5,0.312
2021-01-16,6,0.511
2021-01-16,7,0.96
2021-01-16,8,0.953
2021-01-16,9,0.318
2021-01-16,10,1.124
2021-01-16,11,1.774
2021-01-16,12,1.127
2021-01-16,13,1.07
2021-01-16,14,1.196
2021-01-16,15,1.844
2021-01-16,16,1.608
2021-01-16,17,1.341
2021-01-16,18,0.834
2021-01-16,19,0.894
2021-01-16,20,0.163
2021-01-16,21,1.374
2021-01-16,22,0.776
2021-01-16,23,0.112
2021-01-17,0,0.519
2021-01-17,1,0.171
2021-01-17,2,0.283
2021-01-17,3,0.72
2021-01-17,4,0.389
2021-01-17,5,0.126
2021-01-17,6,0.441
2021-01-17,7,0.598
2021-01-17,8,0.284
2021-01-17,9,0.261
2021-01-17,10,0.574
2021-01-17,11,0.897
2021-01-17,12,1.66
2021-01-17,13,3.045
2021-01-17,14,2.486
2021-01-17,15,1.533
2021-01-17,16,1.822
2021-01-17,17,1.233
2021-01-17,18,0.703
2021-01-17,19,0.41
2021-01-17,20,0.288
2021-01-17,21,0.202
2021-01-17,22,0.177
2021-01-17,23,0.129
2021-01-18,0,0.791
2021-01-18,1,0.856
2021-01-18,2,0.734
2021-01-18,3,1.026
2021-01-18,4,0.529
2021-01-18,5,0.387
2021-01-18,6,0.41
2021-01-18,7,0.561
2021-01-18,8,0.47
2021-01-18,9,1.138
2021-01-18,10,1.102
2021-01-18,11,0.945
2021-01-18,12,0.958
2021-01-18,13,1.386
2021-01-18,14,1.451
2021-01-18,15,1.374
2021-01-18,16,1.51
2021-01-20,0,2.614
2021-01-20,1,2.014
2021-01-20,2,0.613
2021-01-20,3,1.065
2021-01-20,4,0.352
2021-01-20,5,0.509
2021-01-20,6,0.322
2021-01-20,7,0.544
2021-01-20,8,0.594
2021-01-20,9,0.673
2021-01-20,10,1.149
2021-01-20,11,1.47
2021-01-20,12,1.141
2021-01-20,13,1.092
2021-01-20,14,1.776
2021-01-20,15,1.654
2021-01-20,16,1.629
2021-01-20,17,1.116
2021-01-20,18,1.049
2021-01-20,19,0.441
2021-01-20,20,0.396
2021-01-20,21,0.331
2021-01-20,22,0.259
2021-01-20,23,0.448
2021-01-21,0,0.269
2021-01-21,1,0.167
2021-01-21,2,0.2
2021-01-21,3,0.14
2021-01-21,4,0.081
2021-01-21,5,0.202
2021-01-21,6,0.339
2021-01-21,7,0.571
2021-01-21,8,0.548
2021-01-21,9,1.014
2021-01-21,10,0.976
2021-01-21,11,0.891
2021-01-21,12,1.173
2021-01-21,13,1.261
2021-01-21,14,1.466
2021-01-21,15,1.862
2021-01-21,16,1.365
2021-01-21,17,1.827
2021-01-21,18,1.125
2021-01-21,19,0.99
2021-01-21,20,0.425
2021-01-21,21,0.509
2021-01-21,22,0.796
2021-01-21,23,0.448
2021-01-22,0,0.209
2021-01-22,1,0.253
2021-01-22,2,0.242
2021-01-22,3,0.487
2021-01-22,4,0.421
2021-01-22,5,0.133
2021-01-22,6,0.082
2021-01-22,7,0.234
2021-01-22,8,0.371
2021-01-22,9,0.83
2021-01-22,10,0.853
2021-01-22,11,1.307
2021-01-22,12,1.594
2021-01-22,13,1.367
2021-01-22,14,1.477
2021-01-22,15,1.52
2021-01-22,16,1.835
2021-01-22,17,1.624
2021-01-22,18,1.708
2021-01-22,19,1.006
2021-01-22,20,0.087
2021-01-22,21,1.001
2021-01-22,22,0.383
2021-01-22,23,0.335
2021-01-23,0,0.326
2021-01-23,1,0.326
2021-01-23,2,0.131
2021-01-23,3,0.145
2021-01-23,4,0.073
2021-01-23,5,0.178
2021-01-23,6,0.213
2021-01-23,7,0.339
2021-01-23,8,0.403
2021-01-23,9,0.185
2021-01-23,10,0.389
2021-01-23,11,0.594
2021-01-23,12,0.85
2021-01-23,13,1.075
2021-01-23,14,1.429
2021-01-23,15,1.631
