"Parámetro","Fecha","Hora","Valor","Unidad"
"PM2.5","2021-03-01","23:00 - 0:00","31","µg/m³"
"PM2.5","2021-03-02","10:00 - 11:00","28","µg/m³"
"PM2.5","2021-03-02","11:00 - 12:00","32","µg/m³"
"PM2.5","2021-03-02","12:00 - 13:00","31","µg/m³"
"PM2.5","2021-03-02","13:00 - 14:00","30","µg/m³"
"PM2.5","2021-03-02","14:00 - 15:00","0","µg/m³"
"PM2.5","2021-03-02","15:00 - 16:00","0","µg/m³"
"PM2.5","2021-03-02","16:00 - 17:00","0","µg/m³"
"PM2.5","2021-03-02","17:00 - 18:00","52","µg/m³"
"PM2.5","2021-03-02","18:00 - 19:00","16","µg/m³"
"PM2.5","2021-03-02","19:00 - 20:00","8","µg/m³"
"PM2.5","2021-03-02","20:00 - 21:00","30","µg/m³"
"PM2.5","2021-03-02","21:00 - 22:00","31","µg/m³"
"PM2.5","2021-03-02","22:00 - 23:00","36","µg/m³"
"PM2.5","2021-03-03","23:00 - 0:00","39","µg/m³"
"PM2.5","2021-03-03","0:00 - 1:00","24","µg/m³"
"PM2.5","2021-03-03","1:00 - 2:00","36","µg/m³"
"PM2.5","2021-03-03","2:00 - 3:00","29","µg/m³"
"PM2.5","2021-03-03","3:00 - 4:00","25","µg/m³"
"PM2.5","2021-03-03","4:00 - 5:00","37","µg/m³"
"PM2.5","2021-03-03","5:00 - 6:00","22","µg/m³"
"PM2.5","2021-03-03","6:00 - 7:00","29","µg/m³"
"PM2.5","2021-03-03","7:00 - 8:00","28","µg/m³"
"PM2.5","2021-03-03","8:00 - 9:00","46","µg/m³"
"PM2.5","2021-03-03","9:00 - 10:00","31","µg/m³"
"PM2.5","2021-03-03","10:00 - 11:00","25","µg/m³"
"PM2.5","2021-03-03","11:00 - 12:00","23","µg/m³"
"PM2.5","2021-03-03","12:00 - 13:00","23","µg/m³"
"PM2.5","2021-03-03","13:00 - 14:00","15","µg/m³"
"PM2.5","2021-03-03","14:00 - 15:00","13","µg/m³"
"PM2.5","2021-03-03","15:00 - 16:00","9","µg/m³"
"PM2.5","2021-03-03","16:00 - 17:00","6","µg/m³"
"PM2.5","2021-03-03","17:00 - 18:00","7","µg/m³"
"PM2.5","2021-03-03","18:00 - 19:00","9","µg/m³"
"PM2.5","2021-03-03","19:00 - 20:00","17","µg/m³"
"PM2.5","2021-03-03","20:00 - 21:00","24","µg/m³"
"PM2.5","2021-03-03","21:00 - 22:00","26","µg/m³"
"PM2.5","2021-03-03","22:00 - 23:00","36","µg/m³"
"PM2.5","2021-03-04","23:00 - 0:00","48","µg/m³"
"PM2.5","2021-03-04","0:00 - 1:00","14","µg/m³"
"PM2.5","2021-03-04","1:00 - 2:00","41","µg/m³"
"PM2.5","2021-03-04","2:00 - 3:00","38","µg/m³"
"PM2.5","2021-03-04","3:00 - 4:00","36","µg/m³"
"PM2.5","2021-03-04","4:00 - 5:00","25","µg/m³"
"PM2.5","2021-03-04","5:00 - 6:00","34","µg/m³"
"PM2.5","2021-03-04","6:00 - 7:00","36","µg/m³"
"PM2.5","2021-03-04","7:00 - 8:00","43","µg/m³"
"PM2.5","2021-03-04","8:00 - 9:00","49","µg/m³"
"PM2.5","2021-03-04","9:00 - 10:00","42","µg/m³"
"PM2.5","2021-03-04","10:00 - 11:00","44","µg/m³"
"PM2.5","2021-03-04","11:00 - 12:00","34","µg/m³"
"PM2.5","2021-03-04","12:00 - 13:00","18","µg/m³"
"PM2.5","2021-03-04","13:00 - 14:00","6","µg/m³"
"PM2.5","2021-03-04","14:00 - 15:00","6","µg/m³"
"PM2.5","2021-03-04","15:00 - 16:00","5","µg/m³"
"PM2.5","2021-03-04","16:00 - 17:00","4","µg/m³"
"PM2.5","2021-03-04","17:00 - 18:00","6","µg/m³"
"PM2.5","2021-03-04","18:00 - 19:00","6","µg/m³"
"PM2.5","2021-03-04","19:00 - 20:00","7","µg/m³"
"PM2.5","2021-03-04","20:00 - 21:00","17","µg/m³"
"PM2.5","2021-03-04","21:00 - 22:00","13","µg/m³"
"PM2.5","2021-03-04","22:00 - 23:00","10","µg/m³"
"PM2.5","2021-03-05","23:00 - 0:00","10","µg/m³"
"PM2.5","2021-03-05","0:00 - 1:00","34","µg/m³"
"PM2.5","2021-03-05","1:00 - 2:00","34","µg/m³"
"PM2.5","2021-03-05","2:00 - 3:00","38","µg/m³"
"PM2.5","2021-03-05","3:00 - 4:00","31","µg/m³"
"PM2.5","2021-03-05","4:00 - 5:00","16","µg/m³"
"PM2.5","2021-03-05","5:00 - 6:00","27","µg/m³"
"PM2.5","2021-03-05","6:00 - 7:00","28","µg/m³"
"PM2.5","2021-03-05","7:00 - 8:00","40","µg/m³"
"PM2.5","2021-03-05","8:00 - 9:00","45","µg/m³"
"PM2.5","2021-03-05","9:00 - 10:00","40","µg/m³"
"PM2.5","2021-03-05","10:00 - 11:00","35","µg/m³"
"PM2.5","2021-03-05","11:00 - 12:00","23","µg/m³"
"PM2.5","2021-03-05","12:00 - 13:00","9","µg/m³"
"PM2.5","2021-03-05","13:00 - 14:00","6","µg/m³"
"PM2.5","2021-03-05","14:00 - 15:00","3","µg/m³"
"PM2.5","2021-03-05","15:00 - 16:00","1","µg/m³"
"PM2.5","2021-03-05","16:00 - 17:00","3","µg/m³"
"PM2.5","2021-03-05","17:00 - 18:00","4","µg/m³"
"PM2.5","2021-03-05","18:00 - 19:00","2","µg/m³"
"PM2.5","2021-03-05","19:00 - 20:00","3","µg/m³"
"PM2.5","2021-03-05","20:00 - 21:00","20","µg/m³"
"PM2.5","2021-03-05","21:00 - 22:00","18","µg/m³"
"PM2.5","2021-03-05","22:00 - 23:00","26","µg/m³"
"PM2.5","2021-03-06","23:00 - 0:00","11","µg/m³"
"PM2.5","2021-03-06","0:00 - 1:00","10","µg/m³"
"PM2.5","2021-03-06","1:00 - 2:00","8","µg/m³"
"PM2.5","2021-03-06","2:00 - 3:00","9","µg/m³"
"PM2.5","2021-03-06","3:00 - 4:00","12","µg/m³"
"PM2.5","2021-03-06","4:00 - 5:00","10","µg/m³"
"PM2.5","2021-03-06","5:00 - 6:00","6","µg/m³"
"PM2.5","2021-03-06","6:00 - 7:00","7","µg/m³"
"PM2.5","2021-03-06","7:00 - 8:00","11","µg/m³"
"PM2.5","2021-03-06","8:00 - 9:00","28","µg/m³"
"PM2.5","2021-03-06","9:00 - 10:00","25","µg/m³"
"PM2.5","2021-03-06","10:00 - 11:00","23","µg/m³"
"PM2.5","2021-03-06","11:00 - 12:00","31","µg/m³"
"PM2.5","2021-03-06","12:00 - 13:00","21","µg/m³"
"PM2.5","2021-03-06","13:00 - 14:00","19","µg/m³"
"PM2.5","2021-03-06","14:00 - 15:00","21","µg/m³"
"PM2.5","2021-03-06","15:00 - 16:00","16","µg/m³"
"PM2.5","2021-03-06","16:00 - 17:00","14","µg/m³"
"PM2.5","2021-03-06","17:00 - 18:00","12","µg/m³"
"PM2.5","2021-03-06","18:00 - 19:00","12","µg/m³"
"PM2.5","2021-03-06","19:00 - 20:00","12","µg/m³"
"PM2.5","2021-03-06","20:00 - 21:00","22","µg/m³"
"PM2.5","2021-03-06","21:00 - 22:00","26","µg/m³"
"PM2.5","2021-03-06","22:00 - 23:00","15","µg/m³"
"PM2.5","2021-03-07","23:00 - 0:00","14","µg/m³"
"PM2.5","2021-03-07","0:00 - 1:00","11","µg/m³"
"PM2.5","2021-03-07","1:00 - 2:00","16","µg/m³"
"PM2.5","2021-03-07","2:00 - 3:00","13","µg/m³"
"PM2.5","2021-03-07","3:00 - 4:00","11","µg/m³"
"PM2.5","2021-03-07","4:00 - 5:00","10","µg/m³"
"PM2.5","2021-03-07","5:00 - 6:00","11","µg/m³"
"PM2.5","2021-03-07","6:00 - 7:00","16","µg/m³"
"PM2.5","2021-03-07","7:00 - 8:00","19","µg/m³"
"PM2.5","2021-03-07","8:00 - 9:00","17","µg/m³"
"PM2.5","2021-03-08","23:00 - 0:00","7","µg/m³"
"PM2.5","2021-03-08","0:00 - 1:00","5","µg/m³"
"PM2.5","2021-03-08","1:00 - 2:00","17","µg/m³"
"PM2.5","2021-03-08","2:00 - 3:00","1","µg/m³"
"PM2.5","2021-03-08","3:00 - 4:00","5","µg/m³"
"PM2.5","2021-03-08","4:00 - 5:00","12","µg/m³"
"PM2.5","2021-03-08","5:00 - 6:00","13","µg/m³"
"PM2.5","2021-03-08","6:00 - 7:00","13","µg/m³"
"PM2.5","2021-03-08","7:00 - 8:00","18","µg/m³"
"PM2.5","2021-03-08","8:00 - 9:00","14","µg/m³"
"PM2.5","2021-03-08","9:00 - 10:00","16","µg/m³"
"PM2.5","2021-03-08","10:00 - 11:00","16","µg/m³"
"PM2.5","2021-03-10","23:00 - 0:00","14","µg/m³"
"PM2.5","2021-03-10","0:00 - 1:00","14","µg/m³"
"PM2.5","2021-03-10","1:00 - 2:00","13","µg/m³"
"PM2.5","2021-03-10","2:00 - 3:00","25","µg/m³"
"PM2.5","2021-03-10","3:00 - 4:00","43","µg/m³"
"PM2.5","2021-03-10","4:00 - 5:00","23","µg/m³"
"PM2.5","2021-03-10","5:00 - 6:00","32","µg/m³"
"PM2.5","2021-03-10","6:00 - 7:00","25","µg/m³"
"PM2.5","2021-03-10","7:00 - 8:00","31","µg/m³"
"PM2.5","2021-03-10","8:00 - 9:00","32","µg/m³"
"PM2.5","2021-03-10","9:00 - 10:00","30","µg/m³"
"PM2.5","2021-03-10","10:00 - 11:00","29","µg/m³"
"PM2.5","2021-03-10","11:00 - 12:00","26","µg/m³"
"PM2.5","2021-03-10","12:00 - 13:00","14","µg/m³"
