"Parámetro","Fecha","Hora","Valor","Unidad"
"VV","2022-10-01","23:00 - 0:00","1.596","m/s"
"VV","2022-10-01","0:00 - 1:00","1.409","m/s"
"VV","2022-10-01","1:00 - 2:00","1.458","m/s"
"VV","2022-10-01","2:00 - 3:00","1.984","m/s"
"VV","2022-10-01","3:00 - 4:00","2.104","m/s"
"VV","2022-10-01","4:00 - 5:00","1.895","m/s"
"VV","2022-10-01","5:00 - 6:00","1.400","m/s"
"VV","2022-10-01","6:00 - 7:00","1.126","m/s"
"VV","2022-10-01","7:00 - 8:00","1.955","m/s"
"VV","2022-10-01","8:00 - 9:00","1.833","m/s"
"VV","2022-10-01","9:00 - 10:00","2.328","m/s"
"VV","2022-10-01","10:00 - 11:00","1.827","m/s"
"VV","2022-10-01","11:00 - 12:00","1.090","m/s"
"VV","2022-10-01","12:00 - 13:00","1.769","m/s"
"VV","2022-10-01","13:00 - 14:00","2.085","m/s"
"VV","2022-10-01","14:00 - 15:00","1.545","m/s"
"VV","2022-10-01","15:00 - 16:00","1.572","m/s"
"VV","2022-10-01","16:00 - 17:00","1.984","m/s"
"VV","2022-10-01","17:00 - 18:00","2.243","m/s"
"VV","2022-10-01","18:00 - 19:00","2.986","m/s"
"VV","2022-10-01","19:00 - 20:00","3.063","m/s"
"VV","2022-10-01","20:00 - 21:00","4.514","m/s"
"VV","2022-10-01","21:00 - 22:00","3.654","m/s"
"VV","2022-10-01","22:00 - 23:00","1.817","m/s"
"VV","2022-10-02","23:00 - 0:00","1.850","m/s"
"VV","2022-10-02","0:00 - 1:00","1.903","m/s"
"VV","2022-10-02","1:00 - 2:00","1.320","m/s"
"VV","2022-10-02","2:00 - 3:00","1.726","m/s"
"VV","2022-10-02","3:00 - 4:00","1.318","m/s"
"VV","2022-10-02","4:00 - 5:00","0.690","m/s"
"VV","2022-10-02","5:00 - 6:00","1.382","m/s"
"VV","2022-10-02","6:00 - 7:00","2.340","m/s"
"VV","2022-10-02","7:00 - 8:00","2.643","m/s"
"VV","2022-10-02","8:00 - 9:00","3.303","m/s"
"VV","2022-10-02","9:00 - 10:00","3.223","m/s"
"VV","2022-10-02","10:00 - 11:00","2.370","m/s"
"VV","2022-10-02","11:00 - 12:00","1.427","m/s"
"VV","2022-10-02","12:00 - 13:00","1.494","m/s"
"VV","2022-10-02","13:00 - 14:00","1.348","m/s"
"VV","2022-10-02","14:00 - 15:00","1.729","m/s"
"VV","2022-10-02","15:00 - 16:00","2.023","m/s"
"VV","2022-10-02","16:00 - 17:00","1.853","m/s"
"VV","2022-10-02","17:00 - 18:00","1.792","m/s"
"VV","2022-10-02","18:00 - 19:00","0.788","m/s"
"VV","2022-10-02","19:00 - 20:00","2.070","m/s"
"VV","2022-10-02","20:00 - 21:00","1.091","m/s"
"VV","2022-10-02","21:00 - 22:00","2.275","m/s"
"VV","2022-10-02","22:00 - 23:00","3.786","m/s"
"VV","2022-10-03","23:00 - 0:00","2.647","m/s"
