"Parámetro","Fecha","Hora","Valor","Unidad"
"VV","2022-11-01","23:00 - 0:00","0.969","m/s"
"VV","2022-11-01","0:00 - 1:00","0.748","m/s"
"VV","2022-11-01","1:00 - 2:00","0.995","m/s"
"VV","2022-11-01","2:00 - 3:00","0.242","m/s"
"VV","2022-11-01","3:00 - 4:00","0.077","m/s"
"VV","2022-11-01","4:00 - 5:00","0.896","m/s"
"VV","2022-11-01","5:00 - 6:00","1.321","m/s"
"VV","2022-11-01","6:00 - 7:00","1.328","m/s"
"VV","2022-11-01","7:00 - 8:00","2.557","m/s"
"VV","2022-11-01","8:00 - 9:00","1.497","m/s"
"VV","2022-11-01","9:00 - 10:00","1.627","m/s"
"VV","2022-11-01","10:00 - 11:00","0.932","m/s"
"VV","2022-11-01","11:00 - 12:00","1.026","m/s"
"VV","2022-11-01","12:00 - 13:00","1.877","m/s"
"VV","2022-11-01","13:00 - 14:00","1.738","m/s"
"VV","2022-11-01","14:00 - 15:00","2.441","m/s"
"VV","2022-11-01","15:00 - 16:00","1.961","m/s"
"VV","2022-11-01","16:00 - 17:00","1.124","m/s"
"VV","2022-11-01","17:00 - 18:00","1.109","m/s"
"VV","2022-11-01","18:00 - 19:00","0.261","m/s"
"VV","2022-11-01","19:00 - 20:00","0.211","m/s"
"VV","2022-11-01","20:00 - 21:00","0.262","m/s"
"VV","2022-11-01","21:00 - 22:00","0.997","m/s"
"VV","2022-11-01","22:00 - 23:00","1.265","m/s"
"VV","2022-11-02","23:00 - 0:00","0.935","m/s"
"VV","2022-11-02","0:00 - 1:00","0.141","m/s"
"VV","2022-11-02","1:00 - 2:00","0.422","m/s"
"VV","2022-11-02","2:00 - 3:00","1.584","m/s"
"VV","2022-11-02","3:00 - 4:00","1.675","m/s"
"VV","2022-11-02","4:00 - 5:00","1.272","m/s"
"VV","2022-11-02","5:00 - 6:00","1.593","m/s"
"VV","2022-11-02","6:00 - 7:00","1.318","m/s"
"VV","2022-11-02","7:00 - 8:00","1.657","m/s"
"VV","2022-11-02","8:00 - 9:00","2.178","m/s"
"VV","2022-11-02","9:00 - 10:00","2.326","m/s"
"VV","2022-11-02","10:00 - 11:00","1.713","m/s"
"VV","2022-11-02","11:00 - 12:00","1.154","m/s"
"VV","2022-11-02","12:00 - 13:00","1.709","m/s"
"VV","2022-11-02","13:00 - 14:00","1.675","m/s"
"VV","2022-11-02","14:00 - 15:00","1.736","m/s"
"VV","2022-11-02","15:00 - 16:00","1.662","m/s"
"VV","2022-11-02","16:00 - 17:00","1.414","m/s"
"VV","2022-11-02","17:00 - 18:00","1.472","m/s"
"VV","2022-11-02","18:00 - 19:00","0.691","m/s"
"VV","2022-11-02","19:00 - 20:00","0.474","m/s"
"VV","2022-11-02","20:00 - 21:00","1.972","m/s"
"VV","2022-11-02","21:00 - 22:00","3.101","m/s"
"VV","2022-11-02","22:00 - 23:00","1.128","m/s"
"VV","2022-11-03","23:00 - 0:00","0.816","m/s"
"VV","2022-11-03","0:00 - 1:00","1.336","m/s"
"VV","2022-11-03","1:00 - 2:00","1.721","m/s"
"VV","2022-11-03","2:00 - 3:00","1.241","m/s"
"VV","2022-11-03","3:00 - 4:00","0.696","m/s"
